xrange_bot,xrange_top,yrange_bot,yrange_top,stamp_xcor,stamp_ycor,x_stretch,y_stretch,
-180,-60,-170,-150,-120,-160,6,1
-132,-12,-149,-129,-72,-139,6,1
-100,20,-128,-108,-40,-118,6,1
-79,41,-107,-87,-19,-97,6,1
-58,62,-86,-66,2,-76,6,1
-37,83,-65,-45,23,-55,6,1
-16,104,-44,-24,44,-34,6,1
5,125,-23,-3,65,-13,6,1
26,146,-2,18,86,8,6,1
47,167,19,39,107,29,6,1
68,188,40,60,128,50,6,1
163,183,95,115,173,105,1,1
214,300,129,149,257,139,4.3,1
259,279,8,28,269,18,0.9999999999999997,1
187,207,-77,-57,197,-67,0.9999999999999997,1
242,262,-132,-112,252,-122,0.9999999999999997,1
192,212,-188,-168,202,-178,0.9999999999999997,1
