xrange_bot,xrange_top,yrange_bot,yrange_top,stamp_xcor,stamp_ycor,x_stretch,y_stretch
-180,-160,40,60,-170,50,1.0,1.0
-150,-130,40,60,-140,50,1.0,1.0
-120,-100,40,60,-110,50,1.0,1.0
120,140,40,60,130,50,1.0,1.0
90,110,40,60,100,50,1.0,1.0
60,80,40,60,70,50,1.0,1.0
30,50,40,60,40,50,1.0,1.0
-30,-10,20,40,-20,30,1.0,1.0
-30,-10,-10,10,-20,0,1.0,1.0
-30,-10,-40,-20,-20,-30,1.0,1.0
-30,-10,-70,-50,-20,-60,1.0,1.0
-230,190,-150,-130,-20,-140,21.0,1.0
-270,-90,100,120,-180,110,9,1
20,200,100,120,110,110,9,1
